"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"PHI195904100","CIN",1,0,0,0,0,"",0,0,"tempj101","?","tempj101","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","63","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,1,"PHI","CIN","PHI",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","pinsv101","bellg103","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"fernc102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",1,0,1,0,0,"",0,0,"pinsv101","?","pinsv101","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","13","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,2,"PHI","CIN","PHI",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","bellg103","robif103","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"rober102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",1,0,2,0,0,"",0,0,"bellg103","?","bellg103","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","5/P","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"P","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"5","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,5,0,0,0,0,0,0,0,3,"PHI","CIN","PHI",0,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","robif103","thomf103","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"jonew101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",1,1,0,0,0,"",0,0,"andes101","?","andes101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","4/L","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"4","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,4,"PHI","PHI","CIN",1,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","ashbr101","bouce101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"tempj101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",1,1,1,0,0,"",0,0,"ashbr101","?","ashbr101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","W","F","F",8,2,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5,"PHI","PHI","CIN",1,"F","F",0,0,0,1,1,"T","F",0,1,"T","T","bouce101","andeh101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",1,1,1,0,0,"",0,0,"bouce101","?","bouce101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","ashbr101","","","16(1)3/GDP","F","F",3,3,2,"T","T",0,"F","F",2,"T","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","16","","","F","F","F","F","F","F","F","F","F","newcd101","","","F","F","F","F","F","","","","",0,6,3,0,1,6,0,0,0,6,"PHI","PHI","CIN",1,"F","T",0,0,0,2,2,"T","F",1,0,"T","T","andeh101","bowmb102","T","T",8,2,5,0,0,0,0,0,0,"baile101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"newcd101","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",2,0,0,0,0,"",0,0,"robif103","?","robif103","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","7","T","F",3,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,7,"PHI","CIN","PHI",0,"T","F",0,0,0,3,0,"T","F",0,0,"T","T","thomf103","lyncj102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"andeh101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",2,0,1,0,0,"",0,0,"thomf103","?","thomf103","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","K/C","F","F",5,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,8,"PHI","CIN","PHI",0,"F","F",0,0,0,4,1,"T","F",0,0,"T","T","lyncj102","baile101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",2,0,2,0,0,"",0,0,"lyncj102","?","lyncj102","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","4/P","F","F",7,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"P","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"4","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,9,"PHI","CIN","PHI",0,"F","T",0,0,0,5,2,"T","F",0,0,"T","T","baile101","mcmir101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"andes101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",2,1,0,0,0,"",0,0,"andeh101","?","andeh101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","K","T","F",7,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,10,"PHI","PHI","CIN",1,"T","F",0,0,0,3,0,"T","F",0,0,"T","T","bowmb102","jonew101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",2,1,1,0,0,"",0,0,"bowmb102","?","bowmb102","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","K","F","F",9,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,11,"PHI","PHI","CIN",1,"F","F",0,0,0,4,1,"T","F",0,0,"T","T","jonew101","fernc102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",2,1,2,0,0,"",0,0,"jonew101","?","jonew101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","53","F","F",5,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,12,"PHI","PHI","CIN",1,"F","T",0,0,0,5,2,"T","F",0,0,"T","T","fernc102","hegaj101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"thomf103","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",3,0,0,0,0,"",0,0,"baile101","?","baile101","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","43","T","F",2,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,13,"PHI","CIN","PHI",0,"T","F",0,0,0,6,0,"T","F",0,0,"T","T","mcmir101","newcd101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"andes101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",3,0,1,0,0,"",0,0,"mcmir101","?","mcmir101","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","53","F","F",6,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,14,"PHI","CIN","PHI",0,"F","F",0,0,0,7,1,"T","F",0,0,"T","T","newcd101","tempj101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"jonew101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",3,0,2,0,0,"",0,0,"newcd101","?","newcd101","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","3/G","F","F",1,9,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,15,"PHI","CIN","PHI",0,"F","T",0,0,0,8,2,"T","F",0,0,"T","T","tempj101","pinsv101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bouce101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",3,1,0,0,0,"",0,0,"fernc102","?","fernc102","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","7/7D","T","F",6,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","7D",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,16,"PHI","PHI","CIN",1,"T","F",0,0,0,6,0,"T","F",0,0,"T","T","hegaj101","rober102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"lyncj102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",3,1,1,0,0,"",0,0,"hegaj101","?","hegaj101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","63","F","F",2,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,17,"PHI","PHI","CIN",1,"F","F",0,0,0,7,1,"T","F",0,0,"T","T","rober102","andes101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"mcmir101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",3,1,2,0,0,"",0,0,"rober102","?","rober102","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","3/G","F","F",1,9,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,18,"PHI","PHI","CIN",1,"F","T",0,0,0,8,2,"T","F",0,0,"T","T","andes101","ashbr101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"robif103","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",4,0,0,0,0,"",0,0,"tempj101","?","tempj101","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","9/9S","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","9S",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,19,"PHI","CIN","PHI",0,"T","F",0,0,0,9,0,"T","F",0,0,"T","T","pinsv101","bellg103","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bowmb102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",4,0,1,0,0,"",0,0,"pinsv101","?","pinsv101","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","13","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,20,"PHI","CIN","PHI",0,"F","F",0,0,0,10,1,"T","F",0,0,"T","T","bellg103","robif103","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"rober102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",4,0,2,0,0,"",0,0,"bellg103","?","bellg103","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","13","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,21,"PHI","CIN","PHI",0,"F","T",0,0,0,11,2,"T","F",0,0,"T","T","robif103","thomf103","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"rober102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",4,1,0,0,0,"",0,0,"andes101","?","andes101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","63","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,22,"PHI","PHI","CIN",1,"T","F",0,0,0,9,0,"T","F",0,0,"T","T","ashbr101","bouce101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"mcmir101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",4,1,1,0,0,"",0,0,"ashbr101","?","ashbr101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","9/L","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,23,"PHI","PHI","CIN",1,"F","F",0,0,0,10,1,"T","F",0,0,"T","T","bouce101","andeh101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bellg103","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",4,1,2,0,0,"",0,0,"bouce101","?","bouce101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","7","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,24,"PHI","PHI","CIN",1,"F","T",0,0,0,11,2,"T","F",0,0,"T","T","andeh101","bowmb102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"lyncj102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",5,0,0,0,0,"",0,0,"robif103","?","robif103","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","K/C","T","F",3,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,25,"PHI","CIN","PHI",0,"T","F",0,0,0,12,0,"T","F",0,0,"T","T","thomf103","lyncj102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",5,0,1,0,0,"",0,0,"thomf103","?","thomf103","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","","","","HP","F","F",5,5,16,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,26,"PHI","CIN","PHI",0,"F","F",0,0,0,13,1,"T","F",0,1,"T","T","lyncj102","baile101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",5,0,1,0,0,"",0,0,"lyncj102","?","lyncj102","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","thomf103","","","46(1)/FO","F","F",7,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","46","","","F","F","F","F","F","F","F","F","F","rober102","","","F","F","F","F","F","","","","",0,6,0,0,4,0,0,0,0,27,"PHI","CIN","PHI",0,"F","F",0,0,0,14,2,"T","F",1,1,"T","T","baile101","mcmir101","T","T",5,5,26,0,0,0,0,0,0,"hegaj101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"andes101","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",5,0,2,0,0,"",0,0,"baile101","?","baile101","?","rober102","?","rober102","?","hegaj101","bouce101","andes101","jonew101","fernc102","andeh101","ashbr101","bowmb102","lyncj102","","","3/G","F","F",2,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"3","","","","F","F","F","F","F","F","F","F","F","rober102","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,28,"PHI","CIN","PHI",0,"F","T",0,0,0,15,3,"T","F",1,1,"T","T","mcmir101","newcd101","T","T",7,6,27,0,0,0,0,0,0,"hegaj101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bouce101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",5,1,0,0,0,"",0,0,"andeh101","?","andeh101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","43","T","F",7,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,29,"PHI","PHI","CIN",1,"T","F",0,0,0,12,0,"T","F",0,0,"T","T","bowmb102","jonew101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"tempj101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",5,1,1,0,0,"",0,0,"bowmb102","?","bowmb102","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","53","F","F",9,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,30,"PHI","PHI","CIN",1,"F","F",0,0,0,13,1,"T","F",0,0,"T","T","jonew101","fernc102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"thomf103","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHI195904100","CIN",5,1,2,0,0,"",0,0,"jonew101","?","jonew101","?","newcd101","?","newcd101","?","baile101","robif103","tempj101","thomf103","mcmir101","lyncj102","pinsv101","bellg103","","","","3/P","F","F",5,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"P","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,31,"PHI","PHI","CIN",1,"F","T",0,0,0,14,2,"T","F",0,0,"T","T","fernc102","hegaj101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"robif103","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
