GAME_ID,EVENT_ID,COMMENT_TX
"COL200408070",21,"$Cook left game with injured head"
"COL200408070",60,"Debut game for Jorge Piedra"
"COL200408070",60,"$Greene left game with injured leg"
"COL200408080",55,"$Pena left game with injured leg"
"COL200408170",19,"$Zambrano left game with injured arm"
"COL200408170",57,"Debut game for Craig Brazell"
"COL200408191",87,"$DeJean left game with injured leg"
"COL200408192",51,"$McEwing left game with broken leg, out for season"
"COL200408192",66,"ej,loopb001,P,barkl901,Intentional HBP Braden Looper ejected by HP umpire Lance Barksdale"
"COL200408200",18,"$Armas left game with injured shin after ball struck him"
"COL200408200",24,"$the ball took a strange hop and stuck Johnson between his right cheek and jaw; it broke his cheekbone; he fell face first on the dirt and was take  to the hospital; 15-day DL and probably done for season"
"COL200408210",68,"Debut game for Ryan Church"
"COL200408220",52,"Debut game for Chris Gissell"
"COL200409090",43,"$Germano left game with injured leg"
"COL200409090",74,"Batter to third when ball bounced off catcher in front of plate. Originally scored E2, changed to no error on 9-13"
"COL200409120",44,"ej,hurdc001,M,wendh902,Balls and strikes Colorado Manager Clint HUrdle ejected by HP umpire Hunter Wendelstedt"
"COL200409120",68,"$Holliday left game with injured elbow"
"COL200404140",46,"$Aaron Miles switch hits his first 2 career homers"
"COL200404140",76,"ej,brenb001,M,darlg901,Balls and strikes D-Backs manager Bob Brenly ejected by HP umpire Gary Darling sometime in the ninth arguing balls and strikes"
"COL200404220",53,"Game called for rain"
"COL200405011",61,"Debut game for Brad Hawpe"
"COL200405012",45,"ej,hurdc001,M,timmt901,Fan interference non-call $Rockies manager Hurdle ejected by 3B umpire Timmons for demanding a fan interference call"
"COL200405110",62,"yes, SF to 4"
"COL200405131",0,"$Debut for umpire Mike Jost"
"COL200405131",24,"$Davis left game with injured hand/wrist"
"COL200405140",37,"$Thome dropped foul popups on 2 consecutive pitches"
"COL200405140",38,"$Perez allowed the soft liner to drop in front of him; Johnson got caught not knowing which way to move"
"COL200405140",55,"$Thome received a standing ovation after dropping 2 popups earlier"
"COL200405150",44,"Debut game for Scott Dohmann"
"COL200405170",56,"Debut game for Allan Simpson"
"COL200406040",30,"$Kennedy left game with injured arm"
"COL200406040",63,"Debut game for Choo Freeman"
"COL200406060",72,"ej,reeds001,P,drecb901,Claimed batter leaned into HBP Steve Reed ejected by HP umpire Bruce Dreckman; Reed argued that A.J. Pierzynski leaned into the pitch; Manager Clint Hurdle had to restrain Reed as he argued with the umpire; Reed later claimed that Dreckman swore at him; Reed threw his glove towards the umpire as he left the field"
"COL200406180",29,"$Surhoff left game with injured leg"
"COL200406300",19,"Debut game for J.D. Closser"
"COL200407030",63,"ej,clucb801,C,welkt901,Balls and strikes Detroit coach Bob Cluck ejected by HP umpire Tim Welke"
"COL200407040",82,"ej,guilc001,P,cedeg901,Called third strike ej,bondj001,P,cedeg901,Called third strike ej,trama001,M,cedeg901,Called third strike $Carlos Guillen, Jeremy Bonderman and Manager Alan Trammell ejected by HP umpire Gary Cederstrom; Bonderman was not in game"
"COL200407170",28,"ej,piera001,P,barkl901,Checked swing ej,pujol001,C,barkl901,Checked swing A.J. Pierzynski and Coach Luis Pujols ejected by 1B umpire Lance Barksdale for arguing check swing call"
"COL200407270",47,"$Greene left game with injured leg"
"COL200407280",34,"Miles off base when receiving throw. Originally ruled FC but changed to E4 the next day"
"COL200407300",67,"$Bautista left game with injured leg"
"COL200408040",64,"ej,dohms001,P,iassd901,Throwing at batter ej,hurdc001,M,iassd901,Arguing player's ejection $Pitcher Dohmann ejected by HP umpire Iassogna for throwing at Ramirez; manager Hurdle also ejected when he argued pitcher's ejection"
"COL200408070",21,"$Cook left game with injured head"
"COL200408070",60,"Debut game for Jorge Piedra"
"COL200408070",60,"$Greene left game with injured leg"
"COL200408080",55,"$Pena left game with injured leg"
"COL200408170",19,"$Zambrano left game with injured arm"
"COL200408170",57,"Debut game for Craig Brazell"
"COL200408191",87,"$DeJean left game with injured leg"
"COL200408192",51,"$McEwing left game with broken leg, out for season"
"COL200408192",66,"ej,loopb001,P,barkl901,Intentional HBP Braden Looper ejected by HP umpire Lance Barksdale"
"COL200408200",18,"$Armas left game with injured shin after ball struck him"
"COL200408200",24,"$the ball took a strange hop and stuck Johnson between his right cheek and jaw; it broke his cheekbone; he fell face first on the dirt and was take  to the hospital; 15-day DL and probably done for season"
"COL200408210",68,"Debut game for Ryan Church"
"COL200408220",52,"Debut game for Chris Gissell"
"COL200409090",43,"$Germano left game with injured leg"
"COL200409090",74,"Batter to third when ball bounced off catcher in front of plate. Originally scored E2, changed to no error on 9-13"
"COL200409120",44,"ej,hurdc001,M,wendh902,Balls and strikes Colorado Manager Clint HUrdle ejected by HP umpire Hunter Wendelstedt"
"COL200409120",68,"$Holliday left game with injured elbow"
